filename,codec,bitrate,preset,keyint,vmaf,psnr
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_fast_keyint120,h264,1000k,fast,120,40.505594,25.690842
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_fast_keyint30,h264,1000k,fast,30,43.167454,25.766418
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_fast_keyint60,h264,1000k,fast,60,41.878251,25.767856
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint120,h264,1000k,medium,120,47.469656,25.817012
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint30,h264,1000k,medium,30,49.584817,25.802187
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint60,h264,1000k,medium,60,49.328285,25.871221
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_slow_keyint120,h264,1000k,slow,120,49.1987,25.845305
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_slow_keyint30,h264,1000k,slow,30,50.201642,25.834873
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_slow_keyint60,h264,1000k,slow,60,50.798083,25.908973
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_ultrafast_keyint120,h264,1000k,ultrafast,120,39.285399,24.170388
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_ultrafast_keyint30,h264,1000k,ultrafast,30,40.473977,24.238
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_ultrafast_keyint60,h264,1000k,ultrafast,60,40.695137,24.241996
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_veryslow_keyint120,h264,1000k,veryslow,120,53.771038,26.475818
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_veryslow_keyint30,h264,1000k,veryslow,30,52.73615,26.112458
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_1000k_veryslow_keyint60,h264,1000k,veryslow,60,54.278055,26.325639
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_fast_keyint120,h264,2000k,fast,120,52.80368,26.804547
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_fast_keyint30,h264,2000k,fast,30,55.658575,26.904987
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_fast_keyint60,h264,2000k,fast,60,54.674435,26.877402
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint120,h264,2000k,medium,120,54.652326,26.712511
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint30,h264,2000k,medium,30,56.908287,26.797006
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint60,h264,2000k,medium,60,56.685571,26.798038
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_slow_keyint120,h264,2000k,slow,120,56.801637,26.995519
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_slow_keyint30,h264,2000k,slow,30,57.895802,26.918646
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_slow_keyint60,h264,2000k,slow,60,58.137679,27.013467
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_ultrafast_keyint120,h264,2000k,ultrafast,120,44.820288,25.007207
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_ultrafast_keyint30,h264,2000k,ultrafast,30,46.180376,25.102274
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_ultrafast_keyint60,h264,2000k,ultrafast,60,45.84263,25.084489
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint120,h264,2000k,veryslow,120,63.137219,28.183339
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint30,h264,2000k,veryslow,30,61.424778,27.537926
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint60,h264,2000k,veryslow,60,62.574175,27.861265
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint120,h264,4000k,fast,120,60.631513,28.396347
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint30,h264,4000k,fast,30,63.130163,28.452244
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint60,h264,4000k,fast,60,61.651887,28.425224
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_medium_keyint120,h264,4000k,medium,120,62.808795,28.599152
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_medium_keyint30,h264,4000k,medium,30,64.401382,28.582639
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_medium_keyint60,h264,4000k,medium,60,63.699438,28.61983
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint120,h264,4000k,slow,120,65.449912,29.092342
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint30,h264,4000k,slow,30,65.627717,28.844631
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint60,h264,4000k,slow,60,65.863884,29.004891
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint120,h264,4000k,ultrafast,120,56.406062,26.012414
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint30,h264,4000k,ultrafast,30,56.997988,26.065053
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint60,h264,4000k,ultrafast,60,56.769868,26.023067
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint120,h264,4000k,veryslow,120,82.661343,34.057382
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint30,h264,4000k,veryslow,30,74.273631,31.51548
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint60,h264,4000k,veryslow,60,78.189276,32.918013
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint120,h264,500k,fast,120,29.470348,24.882737
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint30,h264,500k,fast,30,34.59655,24.962519
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint60,h264,500k,fast,60,33.273995,24.868099
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_medium_keyint120,h264,500k,medium,120,35.053267,25.165968
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_medium_keyint30,h264,500k,medium,30,36.57874,25.161489
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_medium_keyint60,h264,500k,medium,60,36.620233,25.218403
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_slow_keyint120,h264,500k,slow,120,31.170423,25.013497
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_slow_keyint30,h264,500k,slow,30,39.646395,25.023448
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_slow_keyint60,h264,500k,slow,60,39.408119,25.071965
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_ultrafast_keyint120,h264,500k,ultrafast,120,35.474322,23.637464
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_ultrafast_keyint30,h264,500k,ultrafast,30,36.428924,23.576002
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_ultrafast_keyint60,h264,500k,ultrafast,60,36.637649,23.68469
Animation_1080P-05f8_crf_10_ss_00_t_20.0_libx264_500k_veryslow_keyint120,h264,500k,veryslow,120,43.008876,25.437785
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_fast_keyint120,h264,1000k,fast,120,76.835438,31.844181
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_fast_keyint30,h264,1000k,fast,30,70.731053,30.646889
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_fast_keyint60,h264,1000k,fast,60,74.966367,31.488423
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint120,h264,1000k,medium,120,76.981687,31.881673
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint30,h264,1000k,medium,30,71.082684,30.687009
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint60,h264,1000k,medium,60,75.29462,31.547301
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_slow_keyint120,h264,1000k,slow,120,76.635183,31.678113
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_slow_keyint30,h264,1000k,slow,30,70.813579,30.523081
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_slow_keyint60,h264,1000k,slow,60,75.150181,31.386913
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_ultrafast_keyint120,h264,1000k,ultrafast,120,62.449414,27.932154
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_ultrafast_keyint30,h264,1000k,ultrafast,30,55.43455,27.14688
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_ultrafast_keyint60,h264,1000k,ultrafast,60,60.247947,27.717819
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_veryslow_keyint120,h264,1000k,veryslow,120,76.927964,31.575468
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_veryslow_keyint30,h264,1000k,veryslow,30,70.964593,30.427109
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_1000k_veryslow_keyint60,h264,1000k,veryslow,60,74.522292,31.191461
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_fast_keyint120,h264,2000k,fast,120,85.571906,34.279907
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_fast_keyint30,h264,2000k,fast,30,82.276967,33.431961
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_fast_keyint60,h264,2000k,fast,60,84.754434,34.09246
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint120,h264,2000k,medium,120,86.04168,34.590382
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint30,h264,2000k,medium,30,82.53197,33.55161
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_medium_keyint60,h264,2000k,medium,60,85.142093,34.331537
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_slow_keyint120,h264,2000k,slow,120,86.231799,34.616604
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_slow_keyint30,h264,2000k,slow,30,82.625006,33.455697
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_slow_keyint60,h264,2000k,slow,60,85.30392,34.301606
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_ultrafast_keyint120,h264,2000k,ultrafast,120,76.784498,30.627283
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_ultrafast_keyint30,h264,2000k,ultrafast,30,71.956598,29.97388
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_ultrafast_keyint60,h264,2000k,ultrafast,60,75.786309,30.522246
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint120,h264,2000k,veryslow,120,86.888772,34.831465
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint30,h264,2000k,veryslow,30,82.669124,33.478538
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_2000k_veryslow_keyint60,h264,2000k,veryslow,60,85.488515,34.414211
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint120,h264,4000k,fast,120,91.512835,37.168719
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint30,h264,4000k,fast,30,89.890885,36.343866
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint60,h264,4000k,fast,60,91.047502,36.849646
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_medium_keyint120,h264,4000k,medium,120,92.058073,37.610192
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_medium_keyint30,h264,4000k,medium,30,90.251616,36.632575
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_medium_keyint60,h264,4000k,medium,60,91.493397,37.25445
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint120,h264,4000k,slow,120,92.194236,37.688212
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint30,h264,4000k,slow,30,90.428256,36.628699
Animation_1080P-0c4f_crf_10_ss_00_t_20.0_libx264_4000k_slow_keyint60,h264,4000k,slow,60,91.628565,37.325785
