original,compressed,kid_mean,kid_std
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_500k_fast_keyint120,0.002159953,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_2000k_slow_keyint120,0,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint120,0.001335263,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_500k_ultrafast_keyint30,0.008803368,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_4000k_slow_keyint30,0,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_4000k_ultrafast_keyint60,0,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_1000k_slow_keyint60,0.000404477,0
Animation_1080P-2fbe_crf_10_ss_00_t_20.0,Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx265_1000k_fast_keyint60,0.057480216,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_500k_fast_keyint120,0.002159953,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_2000k_slow_keyint120,0,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint120,0.001335263,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_500k_ultrafast_keyint30,0.008803368,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_4000k_slow_keyint30,0,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_4000k_ultrafast_keyint60,0,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_1000k_slow_keyint60,0.000404477,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_500k_fast_keyint120,0.003035426,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_2000k_slow_keyint120,0,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint120,0.002923727,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_500k_ultrafast_keyint30,0.010648489,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_4000k_slow_keyint30,0,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_4000k_ultrafast_keyint60,0,0
Animation_720P-3adc_crf_10_ss_00_t_20.0,Animation_720P-3adc_crf_10_ss_00_t_20.0_libx265_1000k_slow_keyint60,0.000686646,0
Animation_1080P-2fbe_crf_10_ss_00_t_20.0,Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx265_1000k_fast_keyint60,0.122492552,0
Animation_1080P-2fbe_crf_10_ss_00_t_20.0,Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx265_1000k_fast_keyint30,0.124633312,0
Animation_1080P-2fbe_crf_10_ss_00_t_20.0,Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx264_500k_slow_keyint120,0.201170921,0
Animation_1080P-2fbe_crf_10_ss_00_t_20.0,Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx264_1000k_medium_keyint120,0.120267391,0
Animation_1080P-2fbe_crf_10_ss_00_t_20.0,Animation_1080P-2fbe_crf_10_ss_00_t_20.0_libx265_2000k_fast_keyint60,0.08014679,0
Animation_480P-046c_crf_10_ss_00_t_20.0,Animation_480P-046c_crf_10_ss_00_t_20.0_libx265_500k_ultrafast_keyint60,0,0
Animation_480P-046c_crf_10_ss_00_t_20.0,Animation_480P-046c_crf_10_ss_00_t_20.0_libx265_500k_slow_keyint60,0,0
Animation_480P-046c_crf_10_ss_00_t_20.0,Animation_480P-046c_crf_10_ss_00_t_20.0_libx264_500k_ultrafast_keyint30,0.009646177,0
Animation_480P-046c_crf_10_ss_00_t_20.0,Animation_480P-046c_crf_10_ss_00_t_20.0_libx264_500k_fast_keyint60,0,0
Animation_1080P-646f_crf_10_ss_00_t_20.0,Animation_1080P-646f_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint60,0,0
Animation_1080P-646f_crf_10_ss_00_t_20.0,Animation_1080P-646f_crf_10_ss_00_t_20.0_libx264_500k_veryslow_keyint120,0.007964134,0
Animation_1080P-646f_crf_10_ss_00_t_20.0,Animation_1080P-646f_crf_10_ss_00_t_20.0_libx265_500k_ultrafast_keyint120,0.007565618,0
Animation_480P-35ee_crf_10_ss_00_t_20.0,Animation_480P-35ee_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint60,0,0
Animation_480P-35ee_crf_10_ss_00_t_20.0,Animation_480P-35ee_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint120,0,0
Animation_480P-35ee_crf_10_ss_00_t_20.0,Animation_480P-35ee_crf_10_ss_00_t_20.0_libx265_2000k_veryslow_keyint120,0,0
Animation_480P-35ee_crf_10_ss_00_t_20.0,Animation_480P-35ee_crf_10_ss_00_t_20.0_libx265_500k_medium_keyint60,0,0
Animation_480P-35ee_crf_10_ss_00_t_20.0,Animation_480P-35ee_crf_10_ss_00_t_20.0_libx264_500k_medium_keyint60,0,0
Animation_1080P-2fff_crf_10_ss_00_t_20.0,Animation_1080P-2fff_crf_10_ss_00_t_20.0_libx265_2000k_medium_keyint60,0.00263834,0
Animation_1080P-2fff_crf_10_ss_00_t_20.0,Animation_1080P-2fff_crf_10_ss_00_t_20.0_libx265_500k_slow_keyint30,0.084749937,0
Animation_1080P-2fff_crf_10_ss_00_t_20.0,Animation_1080P-2fff_crf_10_ss_00_t_20.0_libx265_4000k_medium_keyint60,0,0
Animation_1080P-2fff_crf_10_ss_00_t_20.0,Animation_1080P-2fff_crf_10_ss_00_t_20.0_libx264_4000k_fast_keyint30,0,0
Animation_2160P-41dc_crf_10_ss_00_t_20.0,Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx265_2000k_ultrafast_keyint30,0.068350792,0
Animation_2160P-41dc_crf_10_ss_00_t_20.0,Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx264_4000k_ultrafast_keyint60,0.128273249,0
Animation_2160P-41dc_crf_10_ss_00_t_20.0,Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx264_4000k_veryslow_keyint60,0.05178225,0
Animation_2160P-41dc_crf_10_ss_00_t_20.0,Animation_2160P-41dc_crf_10_ss_00_t_20.0_libx264_500k_ultrafast_keyint120,0.146074295,0
